YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,0,0,13.24,95.62,0,96.36,2.96
2024,1,1,1,0,12.93,96.31,0,96.32,3.05
2024,1,1,2,0,12.7,95.75,0,96.28,3.18
2024,1,1,3,0,12.48,95.31,0,96.26,3.29
2024,1,1,4,0,12.24,95.62,0,96.28,3.35
2024,1,1,5,0,11.96,97.19,0,96.32,3.36
2024,1,1,6,15.66,11.94,97.19,0,96.37,3.27
2024,1,1,7,178.16,15.23,78.12,0,96.42,4.19
2024,1,1,8,388.31,18.48,59.31,0,96.46,4
2024,1,1,9,562.09,21.05,44,0,96.48,3.39
2024,1,1,10,683.29,23.01,34.44,0,96.43,3.21
2024,1,1,11,722.8,24.42,29,0,96.34,3.3
2024,1,1,12,707.56,25.36,25.44,0,96.25,3.38
2024,1,1,13,619.2,25.86,23.19,0,96.17,3.36
2024,1,1,14,474.41,25.85,22.12,0,96.13,3.33
2024,1,1,15,282.03,25.23,22.25,0,96.11,3.15
2024,1,1,16,72.62,22.8,25.62,0,96.12,2.14
2024,1,1,17,0,19.76,32,0,96.16,2.34
2024,1,1,18,0,18.44,37,0,96.22,2.54
2024,1,1,19,0,17.15,42.94,0,96.28,2.69
2024,1,1,20,0,16,48.25,0,96.33,2.81
2024,1,1,21,0,15.04,52.06,0,96.35,2.94
2024,1,1,22,0,14.23,54.56,0,96.34,3.11
2024,1,1,23,0,13.51,55.75,0,96.32,3.29
2024,1,2,0,0,12.85,56.62,0,96.31,3.43
2024,1,2,1,0,12.2,57.81,0,96.29,3.48
2024,1,2,2,0,11.62,59.06,0,96.28,3.45
2024,1,2,3,0,11.14,60,0,96.28,3.35
2024,1,2,4,0,10.74,60.69,0,96.31,3.23
2024,1,2,5,0,10.4,61.62,0,96.36,3.18
2024,1,2,6,14.77,10.42,61.56,0,96.39,3.08
2024,1,2,7,168.37,13.74,49.88,0,96.42,3.91
2024,1,2,8,370.17,16.72,42,0,96.46,3.47
2024,1,2,9,541.97,20.94,31.81,0,96.47,3.49
2024,1,2,10,654.66,22.87,27,0,96.44,3.15
2024,1,2,11,735.91,24.19,23.5,0,96.37,3.31
2024,1,2,12,719.82,25.06,20.94,0,96.29,3.44
2024,1,2,13,630.56,25.5,19.31,0,96.23,3.4
2024,1,2,14,478.76,25.44,18.62,0,96.2,3.45
2024,1,2,15,278.07,24.79,19,0,96.22,3.61
2024,1,2,16,69.63,22.19,22.44,0,96.25,2.55
2024,1,2,17,0,18.63,29.88,0,96.31,2.64
2024,1,2,18,0,17.41,37.75,0,96.36,2.95
2024,1,2,19,0,16.15,52.5,0,96.39,3.57
2024,1,2,20,0,15.09,68.81,0,96.43,3.54
2024,1,2,21,0,14.35,78.81,0,96.45,3.55
2024,1,2,22,0,13.77,79.12,0,96.42,3.56
2024,1,2,23,0,13.28,76,0,96.38,3.6
2024,1,3,0,0,12.77,72.75,0,96.38,3.62
2024,1,3,1,0,12.26,72.19,0,96.33,3.78
2024,1,3,2,0,11.77,75.06,0,96.31,3.87
2024,1,3,3,0,11.37,81.44,0,96.28,3.89
2024,1,3,4,0,11.19,90.44,0,96.28,3.86
2024,1,3,5,0,11.23,99.06,0,96.31,3.77
2024,1,3,6,14.16,11.73,100,0,96.35,3.86
2024,1,3,7,167.31,15.51,79.88,0,96.36,5.85
2024,1,3,8,377.58,19.33,58.44,0,96.4,7.01
2024,1,3,9,557.95,21.84,44.31,0,96.42,7.07
2024,1,3,10,663.02,23.51,37,0,96.37,6.32
2024,1,3,11,714.51,24.6,32.81,0,96.3,5.57
2024,1,3,12,680.56,25.18,30.12,0,96.22,5.19
2024,1,3,13,591.11,25.26,28.81,0,96.17,4.96
2024,1,3,14,444.51,24.87,28.75,0,96.14,5.06
2024,1,3,15,272.27,23.83,30.5,0,96.13,5.41
2024,1,3,16,73.98,21.72,35.81,0,96.16,5.11
2024,1,3,17,0,18.53,47.31,0,96.22,4.42
2024,1,3,18,0,17.34,56.5,0,96.27,5.04
2024,1,3,19,0,16.19,65.94,0,96.28,4.49
2024,1,3,20,0,15.15,74.06,0,96.29,3.76
2024,1,3,21,0,14.3,80.19,0,96.3,3.38
