YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2014,1,1,2,0,7.69,83,0,99.41,2.76
2014,1,1,3,0,7.37,85.62,0,99.4,2.79
2014,1,1,4,0,7.09,88.12,0,99.43,2.81
2014,1,1,5,0,7.58,86.12,0,99.47,2.72
2014,1,1,6,0,7.76,85.81,0,99.49,2.72
2014,1,1,7,100.05,9.78,75.81,0,99.54,2.98
2014,1,1,8,298.41,12.71,63.56,0,99.58,2.9
2014,1,1,9,494.08,17.02,48.56,0,99.61,2.28
2014,1,1,10,619.95,19.23,40.44,0,99.59,1.78
2014,1,1,11,669.55,20.57,35.69,0,99.51,1.92
2014,1,1,12,666.32,21.45,32.94,0,99.4,2.42
2014,1,1,13,598.37,21.85,31.75,0,99.33,2.96
2014,1,1,14,467.77,21.68,32,0,99.28,3.46
2014,1,1,15,285.14,20.9,33.81,0,99.29,3.96
2014,1,1,16,86.21,18.51,40,0,99.34,3.14
2014,1,1,17,0,15.12,51,0,99.41,3.26
2014,1,1,18,0,14.22,55.38,0,99.49,3.56
2014,1,1,19,0,13.33,60,0,99.55,3.68
2014,1,1,20,0,12.44,64.81,0,99.58,3.62
2014,1,1,21,0,11.68,69,0,99.59,3.6
2014,1,1,22,0,10.99,72.69,0,99.56,3.57
2014,1,1,23,0,10.3,76.25,0,99.55,3.43
2014,1,2,0,0,9.68,79.44,0,99.55,3.25
2014,1,2,1,0,9.16,81.69,0,99.54,3.15
2014,1,2,2,0,8.76,82.81,0,99.51,3.1
2014,1,2,3,0,8.38,83.69,0,99.5,3.04
2014,1,2,4,0,8.01,84.75,0,99.52,2.99
2014,1,2,5,0,7.69,86.25,0,99.55,2.92
2014,1,2,6,0,7.39,87.88,0,99.61,2.77
2014,1,2,7,110.57,9.76,74.81,0,99.66,2.73
2014,1,2,8,314.55,12.6,62.19,0,99.69,2.8
2014,1,2,9,499.13,17.02,47.44,0,99.67,4.14
2014,1,2,10,627.7,19.43,39.12,0,99.6,4.62
2014,1,2,11,679.97,20.76,34.5,0,99.5,4.4
2014,1,2,12,674.81,21.64,31.56,0,99.38,4.22
2014,1,2,13,608.76,22.05,30,0,99.3,4.24
2014,1,2,14,472.12,21.9,29.81,0,99.27,4.48
2014,1,2,15,287.69,21.1,31.44,0,99.29,4.74
2014,1,2,16,88.7,18.43,38,0,99.34,3.48
2014,1,2,17,0,15.04,48.56,0,99.41,3.46
2014,1,2,18,0,14.11,52.69,0,99.49,3.68
2014,1,2,19,0,13.17,56.94,0,99.54,3.68
2014,1,2,20,0,12.16,61.75,0,99.55,3.4
2014,1,2,21,0,11.29,66.31,0,99.53,3.2
2014,1,2,22,0,10.47,70.75,0,99.52,3.1
2014,1,2,23,0,9.8,74.25,0,99.51,3.03
2014,1,3,0,0,9.44,75.94,0,99.5,2.92
2014,1,3,1,0,9.19,76.56,0,99.5,2.86
2014,1,3,2,0,8.67,78.12,0,99.5,2.87
2014,1,3,3,0,8.04,79.88,0,99.5,2.92
2014,1,3,4,0,8.03,78.06,0,99.48,2.82
2014,1,3,5,0,8.25,75.19,0,99.5,2.69
2014,1,3,6,0,8.05,74.94,0,99.52,2.65
2014,1,3,7,105.95,10.02,64.81,0,99.57,2.9
2014,1,3,8,307.08,12.6,54.56,0,99.62,3.05
2014,1,3,9,474.17,16.66,43.69,0,99.63,4.13
2014,1,3,10,596.06,18.84,37.31,0,99.58,4.35
2014,1,3,11,682.42,20.17,32.81,0,99.48,4.3
2014,1,3,12,681.93,20.95,29.88,0,99.38,4.52
2014,1,3,13,607.73,21.14,28.75,0,99.31,4.85
2014,1,3,14,471.02,20.66,29.56,0,99.29,5.25
2014,1,3,15,280.88,19.71,32.12,0,99.3,5.48
2014,1,3,16,87.58,17.82,37.62,0,99.33,4.22
2014,1,3,17,0,14.71,47.62,0,99.38,3.28
2014,1,3,18,0,14.29,50.38,0,99.45,3.48
2014,1,3,19,0,13.87,52.56,0,99.49,3.55
2014,1,3,20,0,13.4,54.75,0,99.5,3.63
2014,1,3,21,0,12.81,57.31,0,99.48,3.68
2014,1,3,22,0,12.11,60.44,0,99.44,3.69
2014,1,3,23,0,11.01,65.25,0,99.39,3.47
2014,1,4,0,0,10.57,67.38,0,99.35,3.39
2014,1,4,1,0,10.13,69.75,0,99.33,3.16
2014,1,4,2,0,9.52,73.44,0,99.32,2.94
2014,1,4,3,0,8.74,78.38,0,99.31,2.89
2014,1,4,4,0,8.09,82.94,0,99.32,2.97
2014,1,4,5,0,7.67,86.31,0,99.36,3.09
2014,1,4,6,0,7.37,88.62,0,99.4,3.38
2014,1,4,7,102.62,8.9,80.25,0,99.46,5.03
2014,1,4,8,302.03,11.27,69.94,0,99.51,5.18
2014,1,4,9,485.49,14.92,58.25,0,99.53,6.85
2014,1,4,10,615.43,17.65,49.06,0,99.48,7.69
2014,1,4,11,659.12,18.87,44.44,0,99.38,7.61
2014,1,4,12,655.34,19.64,41.69,0,99.27,7.49
2014,1,4,13,589.17,20.01,40.19,0,99.21,7.42
2014,1,4,14,455.31,19.8,40.44,0,99.18,7.27
2014,1,4,15,277.83,19.01,42.25,0,99.19,6.93
2014,1,4,16,85.94,17.3,47.25,0,99.24,5.4
2014,1,4,17,0,14.37,57.81,0,99.31,3.95
2014,1,4,18,0,13.58,61.62,0,99.37,4.44
2014,1,4,19,0,12.8,65.75,0,99.39,4.59
2014,1,4,20,0,11.88,70.5,0,99.38,4.27
2014,1,4,21,0,11.01,75.12,0,99.35,3.89
2014,1,4,22,0,10.26,79.19,0,99.34,3.69
2014,1,4,23,0,9.64,82.31,0,99.32,3.67
2014,1,5,0,0,9.14,84.38,0,99.33,3.77
2014,1,5,1,0,8.75,85.75,0,99.34,3.95
2014,1,5,2,0,8.44,87.12,0,99.33,4.16
2014,1,5,3,0,8.18,88.88,0,99.32,4.42
2014,1,5,4,0,7.91,91.75,0,99.34,4.54
2014,1,5,5,0,7.63,95.88,0,99.39,4.62
2014,1,5,6,0,7.5,98.25,0,99.43,4.81
2014,1,5,7,96.49,8.69,92,0.01,99.47,5.84
2014,1,5,8,292.98,11.28,81.56,0,99.51,6.91
2014,1,5,9,468.97,14.13,69.38,0,99.52,8.18
2014,1,5,10,619.01,16.19,58.06,0,99.48,8.46
2014,1,5,11,674.77,17.75,48.88,0,99.36,8.42
2014,1,5,12,670.78,18.82,42.19,0,99.27,8.39
2014,1,5,13,554,19.33,38.31,0,99.21,8.34
2014,1,5,14,437.66,19.23,37.56,0,99.21,8.32
2014,1,5,15,267.43,18.48,39.5,0,99.23,8.18
2014,1,5,16,85.78,16.92,44.38,0,99.29,6.8
2014,1,5,17,0,13.98,55,0,99.36,4.41
2014,1,5,18,0,12.9,60.25,0,99.42,4.41
2014,1,5,19,0,12.01,64.69,0,99.46,4.31
2014,1,5,20,0,11.12,69.12,0,99.48,4.12
2014,1,5,21,0,10.29,73.25,0,99.48,3.98
2014,1,5,22,0,9.51,76.88,0,99.47,3.84
2014,1,5,23,0,8.67,80.31,0,99.44,3.44
2014,1,6,0,0,7.87,83.56,0,99.41,3.01
2014,1,6,1,0,7.24,86.5,0,99.41,2.76
2014,1,6,2,0,6.84,89.19,0,99.4,2.75
2014,1,6,3,0,6.55,92.19,0,99.4,2.81
2014,1,6,4,0,6.22,96.75,0,99.43,2.86
2014,1,6,5,0,5.92,100,0,99.49,2.87
2014,1,6,6,0,5.65,100,0,99.56,2.88
2014,1,6,7,99.05,7.71,91.56,0,99.59,4.25
2014,1,6,8,300.88,10.17,76.56,0,99.62,3.38
2014,1,6,9,489.21,15.36,48.81,0,99.64,2.98
2014,1,6,10,624.86,18.64,34.38,0,99.61,2.15
2014,1,6,11,670.65,20.23,27.94,0,99.52,1.58
2014,1,6,12,675.16,21.22,24.06,0,99.41,1.74
2014,1,6,13,604.27,21.75,21.56,0,99.33,1.9
2014,1,6,14,437.7,21.79,20.19,0,99.28,2
2014,1,6,15,231.5,21.2,20.12,0,99.28,1.88
2014,1,6,16,57.88,18.79,23,0,99.3,1.53
2014,1,6,17,0,16.33,26.56,0,99.34,2.26
2014,1,6,18,0,15.35,28,0,99.39,2.73
2014,1,6,19,0,14.68,29.06,0,99.43,2.9
2014,1,6,20,0,13.97,30.56,0,99.44,2.86
2014,1,6,21,0,13.39,32,0,99.44,2.65
2014,1,6,22,0,12.57,34.31,0,99.41,2.43
2014,1,6,23,0,11.3,38.38,0,99.39,2.31
2014,1,7,0,0,10.89,41.12,0,99.38,2.17
2014,1,7,1,0,10.94,43.38,0,99.36,2.45
2014,1,7,2,0,10.65,48.31,0,99.33,2.63
2014,1,7,3,0,10.4,52.56,0,99.33,2.47
2014,1,7,4,0,10.01,55.5,0,99.34,2.46
2014,1,7,5,0,9.8,56.31,0,99.36,2.48
2014,1,7,6,0,9.33,57.44,0,99.39,2.41
2014,1,7,7,75.95,11.33,50,0,99.42,2.47
2014,1,7,8,278.41,13.42,43.69,0,99.44,3.17
2014,1,7,9,487.79,16.86,36.81,0,99.45,3.73
2014,1,7,10,626.35,20.05,31.94,0,99.39,4.66
2014,1,7,11,692.42,21.38,28.44,0,99.3,3.92
2014,1,7,12,694.12,22.16,25.69,0,99.21,3.09
2014,1,7,13,617.43,22.52,23.88,0,99.16,2.42
2014,1,7,14,484.88,22.38,23.12,0,99.13,1.97
2014,1,7,15,301.88,21.68,23.38,0,99.1,1.65
2014,1,7,16,103.07,19.33,26.69,0,99.1,1.32
2014,1,7,17,0,16.74,31.5,0,99.11,1.84
2014,1,7,18,0,15.14,35.06,0,99.14,2.24
2014,1,7,19,0,13.84,38.25,0,99.15,2.43
2014,1,7,20,0,12.98,40.38,0,99.15,2.36
2014,1,7,21,0,12.3,42.12,0,99.15,2.15
2014,1,7,22,0,11.73,43.94,0,99.16,1.88
2014,1,7,23,0,11.29,45.88,0,99.16,1.59
2014,1,8,0,0,10.91,48.12,0,99.17,1.32
2014,1,8,1,0,10.48,51,0,99.14,1.22
2014,1,8,2,0,9.92,55.25,0,99.1,1.3
2014,1,8,3,0,9.48,60.31,0,99.08,1.33
2014,1,8,4,0,9.08,66.69,0,99.08,1.41
2014,1,8,5,0,8.71,73.5,0,99.12,1.48
2014,1,8,6,0,8.44,79.38,0,99.15,1.46
2014,1,8,7,100.52,9.76,75.62,0,99.2,1.26
2014,1,8,8,304.43,12.44,63.69,0,99.25,0.87
2014,1,8,9,494.56,15.86,46.88,0,99.31,0.42
2014,1,8,10,626.62,19.56,30,0,99.27,1.35
2014,1,8,11,685.56,21.01,25.25,0,99.17,2.36
2014,1,8,12,683.23,21.58,23.31,0,99.09,3.16
2014,1,8,13,613.08,21.65,22.38,0,99.02,3.63
2014,1,8,14,485.27,21.23,22.5,0,98.98,3.97
2014,1,8,15,299.3,20.26,23.81,0,98.98,4.3
2014,1,8,16,102.06,17.74,28.31,0,99.02,3.21
2014,1,8,17,0,14.04,37,0,99.08,3.22
2014,1,8,18,0,13.04,41,0,99.16,3.33
2014,1,8,19,0,12.19,44.62,0,99.21,3.34
2014,1,8,20,0,11.39,47.88,0,99.25,3.33
2014,1,8,21,0,10.59,50.88,0,99.26,3.28
2014,1,8,22,0,9.79,53.88,0,99.23,3.18
2014,1,8,23,0,9.01,56.69,0,99.18,3.08
2014,1,9,0,0,8.34,59.25,0,99.16,2.97
2014,1,9,1,0,7.71,61.75,0,99.15,2.86
2014,1,9,2,0,7.09,64.25,0,99.14,2.79
2014,1,9,3,0,6.53,66.56,0,99.14,2.79
2014,1,9,4,0,6.04,68.81,0,99.18,2.77
2014,1,9,5,0,5.59,71.25,0,99.25,2.73
2014,1,9,6,0,5.23,73.81,0,99.3,2.65
2014,1,9,7,97.09,7.33,64.88,0,99.33,3.43
2014,1,9,8,274.67,9.81,56.12,0,99.36,2.98
2014,1,9,9,450.55,14.3,46.44,0,99.38,4.31
2014,1,9,10,607.89,16.3,41.62,0,99.33,4.2
2014,1,9,11,650.29,17.28,38.75,0,99.22,4.24
2014,1,9,12,623.73,17.83,37.06,0,99.11,4.73
2014,1,9,13,390.63,17.87,37,0,99.06,5.24
2014,1,9,14,259.96,17.44,38.19,0,99.05,5.48
2014,1,9,15,152.56,16.57,41,0,99.06,5.64
