YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,0,0,10.05,90.69,0,98.65,3.02
2024,1,1,1,0,9.42,95.5,0,98.63,2.88
2024,1,1,2,0,8.9,99.69,0,98.6,2.73
2024,1,1,3,0,8.48,100,0,98.58,2.59
2024,1,1,4,0,8.15,100,0,98.6,2.53
2024,1,1,5,0,7.8,100,0,98.65,2.58
2024,1,1,6,0,7.5,100,0,98.7,2.63
2024,1,1,7,115.04,9.36,98.5,0,98.75,2.78
2024,1,1,8,318.16,11.84,84.06,0,98.78,3.37
2024,1,1,9,501.04,15.5,66.25,0,98.81,4.1
2024,1,1,10,629.13,18.39,51.81,0,98.76,4.77
2024,1,1,11,679.03,19.65,45.69,0,98.68,4.46
2024,1,1,12,674.9,20.34,42.19,0,98.6,4.28
2024,1,1,13,601.28,20.62,40.19,0,98.52,4.32
2024,1,1,14,464.39,20.38,39.94,0,98.48,4.58
2024,1,1,15,280.07,19.62,41.56,0,98.47,4.82
2024,1,1,16,82.87,17.2,48.75,0,98.49,3.44
2024,1,1,17,0,14.31,59.69,0,98.53,3.44
2024,1,1,18,0,13.73,63.19,0,98.6,3.83
2024,1,1,19,0,13.3,66.25,0,98.65,4.25
2024,1,1,20,0,12.77,69.69,0,98.68,4.38
2024,1,1,21,0,12.13,73.25,0,98.7,4.24
2024,1,1,22,0,11.44,76.75,0,98.7,4.03
2024,1,1,23,0,10.82,79.5,0,98.68,4
2024,1,2,0,0,10.25,81.88,0,98.68,3.95
2024,1,2,1,0,9.69,84.19,0,98.68,3.94
2024,1,2,2,0,9.17,86.81,0,98.68,3.89
2024,1,2,3,0,8.61,90.38,0,98.66,3.69
2024,1,2,4,0,8.08,94.56,0,98.68,3.49
2024,1,2,5,0,7.62,98.81,0,98.72,3.37
2024,1,2,6,0,7.27,100,0,98.76,3.37
2024,1,2,7,114.91,8.84,93.44,0,98.81,4.55
2024,1,2,8,321.89,11.21,81.69,0,98.87,4.85
2024,1,2,9,506.23,14.45,69.06,0,98.9,5.44
2024,1,2,10,636.37,17.84,53.69,0,98.88,6.6
2024,1,2,11,685.59,19.34,45.69,0,98.8,6.48
2024,1,2,12,681.73,20.31,40.31,0,98.72,6.45
2024,1,2,13,609.55,20.88,36.94,0,98.66,6.45
2024,1,2,14,475.59,20.87,35.81,0,98.63,6.39
2024,1,2,15,291.02,20.25,36.69,0,98.63,6.1
2024,1,2,16,89.6,17.68,43.19,0,98.65,3.99
2024,1,2,17,0,14.65,53.06,0,98.68,3.72
2024,1,2,18,0,13.97,56.44,0,98.73,3.94
2024,1,2,19,0,13.32,60.06,0,98.77,4
2024,1,2,20,0,12.66,64.25,0,98.77,4
2024,1,2,21,0,12.05,68.81,0,98.77,3.98
2024,1,2,22,0,11.46,73.81,0,98.78,3.98
2024,1,2,23,0,10.86,79.19,0,98.75,3.91
2024,1,3,0,0,10.23,84.81,0,98.73,3.75
