YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2014,1,1,2,0,3.51,100,0,90.52,1.62
2014,1,1,3,0,3.49,100,0,90.52,1.55
2014,1,1,4,0,3.38,100,0,90.53,1.63
2014,1,1,5,0,3.16,100,0,90.55,1.74
2014,1,1,6,0,3.1,100,0,90.58,1.82
2014,1,1,7,98.56,4.77,93.75,0,90.62,2.09
2014,1,1,8,234.93,7.62,74.81,0,90.68,2.1
2014,1,1,9,403.45,11.02,53.38,0,90.69,1.45
2014,1,1,10,515.29,12.87,44.12,0,90.66,1.79
2014,1,1,11,601.56,13.96,39.69,0,90.59,2.49
2014,1,1,12,632.69,14.46,37.75,0,90.52,3.26
2014,1,1,13,555.68,14.44,37.75,0,90.49,3.83
2014,1,1,14,411.37,13.9,39.75,0,90.48,4.01
2014,1,1,15,232.7,12.87,43.62,0,90.5,3.86
2014,1,1,16,52.57,10.24,54,0,90.53,2.76
2014,1,1,17,0,7.28,68.94,0,90.59,2.68
2014,1,1,18,0,6.24,76.69,0,90.66,2.65
2014,1,1,19,0,5.37,83,0,90.7,2.6
2014,1,1,20,0,4.63,88.69,0,90.73,2.48
2014,1,1,21,0,4.11,93.5,0,90.72,2.4
2014,1,1,22,0,3.74,97.62,0,90.7,2.32
2014,1,1,23,0,3.61,99.5,0,90.68,2.14
2014,1,2,0,0,3.63,99.38,0,90.68,1.94
2014,1,2,1,0,3.61,98.5,0,90.67,1.77
2014,1,2,2,0,3.65,96.69,0,90.64,1.65
2014,1,2,3,0,3.67,94.62,0,90.62,1.63
2014,1,2,4,0,3.62,93.06,0,90.62,1.72
2014,1,2,5,0,3.62,91.25,0,90.64,1.78
2014,1,2,6,0,3.74,88.62,0,90.67,1.73
2014,1,2,7,118.77,5.69,75.88,0,90.7,1.52
2014,1,2,8,312.03,9.44,56.81,0,90.73,1.73
2014,1,2,9,446.48,12.55,40.12,0,90.74,1.14
2014,1,2,10,606.58,14.64,30.75,0,90.68,0.7
2014,1,2,11,645.02,15.92,26.38,0,90.6,0.84
2014,1,2,12,659.21,16.65,24.56,0,90.51,1.32
2014,1,2,13,579.93,16.93,23.88,0,90.46,1.9
2014,1,2,14,443.09,16.65,24.5,0,90.44,2.4
2014,1,2,15,253.15,15.65,26.88,0,90.46,2.65
2014,1,2,16,56.05,12.26,35.88,0,90.51,2.13
2014,1,2,17,0,9.49,44.81,0,90.57,2.41
2014,1,2,18,0,8.15,50.88,0,90.63,2.55
2014,1,2,19,0,6.98,56.75,0,90.68,2.59
2014,1,2,20,0,6.15,61.81,0,90.7,2.54
2014,1,2,21,0,5.86,65.12,0,90.68,2.54
2014,1,2,22,0,5.48,68.69,0,90.65,2.59
2014,1,2,23,0,5.2,70.75,0,90.61,2.43
2014,1,3,0,0,4.92,71.75,0,90.61,2.23
2014,1,3,1,0,4.91,70.69,0,90.61,2.04
2014,1,3,2,0,5.08,68.5,0,90.6,2.01
2014,1,3,3,0,5.09,67,0,90.59,2.14
2014,1,3,4,0,4.89,66.69,0,90.59,2.34
2014,1,3,5,0,4.78,66.19,0,90.6,2.41
2014,1,3,6,0,4.97,64.69,0,90.61,2.33
2014,1,3,7,114.47,6.88,56.44,0,90.64,1.99
2014,1,3,8,308.69,10.88,43.56,0,90.68,2.28
2014,1,3,9,485.09,13.51,34.31,0,90.69,2.48
2014,1,3,10,574.97,15.43,27.69,0,90.64,2.9
2014,1,3,11,677.31,16.59,24.38,0,90.55,3.48
2014,1,3,12,631.16,17.06,23.19,0,90.48,4.08
2014,1,3,13,556.18,16.93,23.62,0,90.43,4.41
2014,1,3,14,424.41,16.22,25.62,0,90.43,4.34
2014,1,3,15,242.47,14.87,29.5,0,90.44,3.96
2014,1,3,16,56.28,11.17,41.31,0,90.48,2.75
2014,1,3,17,0,8.24,54.88,0,90.53,2.83
2014,1,3,18,0,8.21,59.06,0,90.58,2.59
2014,1,3,19,0,7.26,66.56,0,90.59,2.47
2014,1,3,20,0,6.81,71.81,0,90.6,2.26
2014,1,3,21,0,6.25,78.88,0,90.58,2.33
2014,1,3,22,0,4.42,96.44,0,90.54,2.67
2014,1,3,23,0,5.15,98,0,90.49,2.96
2014,1,4,0,0,5.76,96,0,90.45,3.39
2014,1,4,1,0,5.66,95.25,0,90.42,2.79
2014,1,4,2,0,4.93,98.94,0,90.38,2.51
2014,1,4,3,0,4.57,100,0,90.36,2.48
2014,1,4,4,0,4.3,100,0,90.36,2.51
2014,1,4,5,0,3.96,100,0,90.39,2.53
2014,1,4,6,0,3.84,100,0,90.41,2.61
2014,1,4,7,98.02,5.97,91.69,0,90.44,2.92
2014,1,4,8,269.44,8.38,76.44,0,90.47,3.75
2014,1,4,9,435.82,10.84,59.12,0,90.48,3.58
2014,1,4,10,577.37,13.21,45.25,0,90.44,3.18
2014,1,4,11,637.74,14.43,39.75,0,90.36,3.31
2014,1,4,12,636.03,15.04,37,0,90.29,3.62
2014,1,4,13,551.75,15.13,36.38,0,90.25,3.95
2014,1,4,14,412.27,14.65,37.81,0,90.25,4.21
2014,1,4,15,221.75,13.54,41.81,0,90.26,4.43
2014,1,4,16,45.43,11.46,51.19,0,90.29,3.85
2014,1,4,17,0,9.33,63.88,0,90.34,3.33
2014,1,4,18,0,8.65,71.38,0,90.39,3.59
2014,1,4,19,0,8.05,78.69,0,90.43,3.92
2014,1,4,20,0,7.47,85.88,0,90.43,4.38
2014,1,4,21,0,6.9,91.94,0,90.41,4.55
2014,1,4,22,0,6.37,96.75,0,90.37,4.68
2014,1,4,23,0,6.28,97.81,0,90.33,4.93
2014,1,5,0,0,6.51,96.5,0,90.31,5.26
2014,1,5,1,0,6.59,95.69,0,90.31,5.45
2014,1,5,2,0,6.62,95.69,0,90.29,5.45
2014,1,5,3,0,6.67,95.81,0,90.29,5.44
2014,1,5,4,0,6.54,96.88,0,90.31,5
2014,1,5,5,0,6.64,96.12,0,90.35,5.06
2014,1,5,6,0,6.56,96.31,0,90.39,4.9
2014,1,5,7,101.33,7.02,92.81,0,90.43,5.34
2014,1,5,8,268.24,8.44,82.69,0,90.45,5.96
2014,1,5,9,406.23,10.53,68.19,0,90.47,6.13
2014,1,5,10,547.21,12.11,57.81,0,90.44,6.07
2014,1,5,11,636.83,12.88,53.06,0,90.36,6.04
2014,1,5,12,608.16,13.08,51.56,0,90.31,6.09
2014,1,5,13,529.67,12.83,52.25,0,90.3,6.3
2014,1,5,14,392.39,12.21,54.44,0,90.31,6.52
2014,1,5,15,212.62,11.2,58.12,0,90.35,6.53
2014,1,5,16,51.14,9.65,64.62,0,90.41,5.38
2014,1,5,17,0,7.87,73,0,90.47,3.96
2014,1,5,18,0,6.95,76.81,0,90.52,4.05
2014,1,5,19,0,6.24,78.75,0,90.55,4.29
2014,1,5,20,0,5.5,80.81,0,90.57,4.38
2014,1,5,21,0,4.67,83.88,0,90.59,4.35
2014,1,5,22,0,3.98,86.31,0,90.58,4.37
2014,1,5,23,0,3.48,87.31,0,90.56,4.58
2014,1,6,0,0,3.08,88.5,0,90.55,4.86
2014,1,6,1,0,2.65,91.62,0,90.55,5.01
2014,1,6,2,0,2.28,96.06,0,90.54,5.26
2014,1,6,3,0,2.58,95.69,0,90.51,5.86
2014,1,6,4,0,2.84,94,0,90.52,6.83
2014,1,6,5,0,2.69,93.25,0,90.55,6.92
2014,1,6,6,0,2.42,92.31,0,90.6,6.37
2014,1,6,7,113.33,3.76,81.5,0,90.65,6.62
2014,1,6,8,310.34,6.74,63,0,90.7,6.67
2014,1,6,9,466.59,10.21,44.5,0,90.73,7.18
2014,1,6,10,617.34,12.47,35.06,0,90.72,6.44
2014,1,6,11,666.26,13.91,29.88,0,90.67,5.35
2014,1,6,12,660.55,14.71,26.75,0,90.62,4.57
2014,1,6,13,589.08,15.03,24.94,0,90.6,4.17
2014,1,6,14,445.51,14.75,24.56,0,90.6,4.12
2014,1,6,15,260.73,13.73,26,0,90.6,4.42
2014,1,6,16,64.52,10.3,33.88,0,90.61,3.29
2014,1,6,17,0,7,44.25,0,90.65,3.5
2014,1,6,18,0,6.05,50.12,0,90.68,3.77
2014,1,6,19,0,5.42,54.94,0,90.69,4.2
2014,1,6,20,0,5.25,58.38,0,90.68,4.46
2014,1,6,21,0,5.17,61.44,0,90.67,4.35
2014,1,6,22,0,4.93,65,0,90.64,4.25
2014,1,6,23,0,4.86,67.31,0,90.59,4.24
2014,1,7,0,0,4.74,68.94,0,90.58,3.96
2014,1,7,1,0,4.69,68.94,0,90.57,3.8
2014,1,7,2,0,4.84,66.88,0,90.55,3.98
2014,1,7,3,0,4.8,65.56,0,90.53,3.68
2014,1,7,4,0,4.69,64.75,0,90.56,3.4
2014,1,7,5,0,4.56,63.5,0,90.59,3.35
2014,1,7,6,0,4.48,61.75,0,90.61,3.32
2014,1,7,7,90.18,6.56,51.69,0,90.63,3.13
2014,1,7,8,259.3,8.94,43.25,0,90.64,4.45
2014,1,7,9,427.65,11.26,33,0,90.65,3.72
2014,1,7,10,539.98,13.19,25.5,0,90.6,2.82
2014,1,7,11,652.19,14.5,21.44,0,90.54,2.36
2014,1,7,12,661.12,15.3,19.5,0,90.49,2.05
2014,1,7,13,585.59,15.73,18.56,0,90.45,1.86
2014,1,7,14,443.4,15.66,18.5,0,90.44,1.77
2014,1,7,15,260.41,14.84,19.88,0,90.44,1.56
2014,1,7,16,63.38,11.87,26.81,0,90.45,0.99
2014,1,7,17,0,10.3,28.44,0,90.46,0.69
2014,1,7,18,0,9.59,30.06,0,90.48,0.88
2014,1,7,19,0,8.3,32.25,0,90.48,1.61
2014,1,7,20,0,6.42,35.44,0,90.46,2.42
2014,1,7,21,0,4.71,38.94,0,90.43,3.11
2014,1,7,22,0,3.68,41.81,0,90.39,3.59
2014,1,7,23,0,3.11,44.62,0,90.35,3.82
2014,1,8,0,0,2.7,48,0,90.34,3.87
2014,1,8,1,0,2.37,51.5,0,90.33,3.77
2014,1,8,2,0,2.19,54.5,0,90.32,3.56
2014,1,8,3,0,2.21,56.5,0,90.29,3.31
2014,1,8,4,0,2.29,58,0,90.28,3.12
2014,1,8,5,0,2.37,58.69,0,90.3,2.97
2014,1,8,6,0,2.53,58,0,90.32,2.85
2014,1,8,7,107.2,5.02,48.31,0,90.35,2.49
2014,1,8,8,300.27,9.7,34.31,0,90.38,2.98
2014,1,8,9,428.67,13.33,20.94,0,90.41,3.21
2014,1,8,10,601.91,15.31,17.94,0,90.39,4.07
2014,1,8,11,666.66,16.32,19.81,0,90.31,4.79
2014,1,8,12,664.24,16.71,23.19,0,90.24,5.03
2014,1,8,13,587.33,16.62,26.69,0,90.19,4.95
2014,1,8,14,443.55,16.02,30.31,0,90.18,4.54
2014,1,8,15,263.02,14.9,34.38,0,90.18,3.64
2014,1,8,16,67.55,11.91,44.19,0,90.2,2.02
2014,1,8,17,0,10.15,51.62,0,90.24,1.48
2014,1,8,18,0,9.96,53.69,0,90.3,0.89
2014,1,8,19,0,9.49,56.06,0,90.33,0.62
2014,1,8,20,0,9.07,58,0,90.35,0.89
2014,1,8,21,0,8.27,61.75,0,90.35,1.37
2014,1,8,22,0,7.38,66.94,0,90.32,1.75
2014,1,8,23,0,6.8,71.88,0,90.27,1.84
2014,1,9,0,0,6.62,75.31,0,90.25,1.74
2014,1,9,1,0,6.63,77.19,0,90.22,1.56
2014,1,9,2,0,6.69,78.25,0,90.19,1.4
2014,1,9,3,0,6.84,78.19,0,90.18,1.26
2014,1,9,4,0,7.02,77.69,0,90.18,1.19
2014,1,9,5,0,6.98,78.19,0,90.23,1.18
2014,1,9,6,0,6.98,78,0,90.28,1.03
2014,1,9,7,100.77,8,72,0,90.3,0.7
2014,1,9,8,290.7,10.21,59.31,0,90.31,0.48
2014,1,9,9,412.35,11.92,48.75,0.03,90.3,0.47
2014,1,9,10,573.16,13.25,41.5,0.1,90.24,1.39
2014,1,9,11,607.88,14.21,36,0.14,90.13,2.06
2014,1,9,12,612.36,14.66,33,0.24,90.03,2.57
2014,1,9,13,507.66,14.4,33.12,0.34,90,2.87
2014,1,9,14,351.27,13.62,35.94,0.55,90.01,3.13
2014,1,9,15,201.48,12.21,42.06,0.32,90.05,3.42
2014,1,9,16,36.17,10.29,52.69,0.37,90.12,3.19
2014,1,9,17,0,8.81,62.94,0.43,90.18,3.26
2014,1,9,18,0,7.8,72.25,0.48,90.23,3.86
2014,1,9,19,0,6.91,80.44,0.52,90.25,3.71
2014,1,9,20,0,6.33,86.62,0.46,90.28,3.6
2014,1,9,21,0,6.05,90.44,0.31,90.28,3.77
2014,1,9,22,0,5.9,91.94,0.24,90.26,4.01
2014,1,9,23,0,5.76,92.44,0.13,90.25,4.14
2014,1,10,0,0,5.62,92.69,0.07,90.26,4.17
2014,1,10,1,0,5.51,92.88,0.07,90.27,4.33
2014,1,10,2,0,5.44,93.44,0.05,90.27,4.62
2014,1,10,3,0,5.37,94.06,0.07,90.26,4.89
2014,1,10,4,0,5.33,93.69,0.09,90.27,5.15
2014,1,10,5,0,5.19,94,0.04,90.3,4.89
2014,1,10,6,0,5.18,94,0.03,90.34,4.74
2014,1,10,7,86.55,5.39,92.62,0.04,90.41,4.93
2014,1,10,8,264.58,5.98,89.56,0.03,90.48,5.24
2014,1,10,9,437.27,6.94,82.88,0.02,90.55,5.52
2014,1,10,10,485.05,8.79,69.88,0.01,90.57,5.17
2014,1,10,11,560.43,10.53,59.19,0.02,90.53,4.79
2014,1,10,12,556.43,11.57,52.88,0.03,90.49,5.08
2014,1,10,13,466.05,11.73,51.5,0.04,90.5,5.59
2014,1,10,14,343.38,11.19,53.5,0.03,90.53,5.86
2014,1,10,15,209.05,10.16,58.19,0.02,90.58,5.84
2014,1,10,16,57.68,8.37,67.81,0,90.62,4.44
2014,1,10,17,0,6.3,80.62,0,90.67,2.97
2014,1,10,18,0,5.64,86.75,0,90.72,2.74
2014,1,10,19,0,5.26,90.94,0,90.76,2.55
2014,1,10,20,0,4.73,95.5,0,90.78,2.3
2014,1,10,21,0,4.56,97.25,0,90.8,2.3
2014,1,10,22,0,4.65,97.06,0,90.8,2.54
2014,1,10,23,0,4.64,97.12,0,90.77,2.64
2014,1,11,0,0,4.47,98.38,0,90.77,2.72
2014,1,11,1,0,4.06,100,0.01,90.78,2.77
2014,1,11,2,0,3.58,100,0,90.78,2.74
2014,1,11,3,0,3.34,100,0,90.79,2.73
2014,1,11,4,0,3.37,100,0,90.82,2.8
