YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,0,0,8.76,87.69,0,92,4.09
2024,1,1,1,0,8.44,88.75,0,91.97,3.74
2024,1,1,2,0,8.11,88.75,0,91.96,3.23
2024,1,1,3,0,7.94,87.12,0,91.95,2.75
2024,1,1,4,0,7.8,85.56,0,91.96,2.38
2024,1,1,5,0,7.33,87.62,0,92,2.31
2024,1,1,6,0,7.21,88.12,0,92.05,2.21
2024,1,1,7,128.02,9.27,75.56,0,92.08,2.45
2024,1,1,8,318.25,12.34,60.69,0,92.11,2
2024,1,1,9,492,15.77,45,0,92.13,0.59
2024,1,1,10,611.35,17.56,36.94,0,92.08,1.73
2024,1,1,11,666.64,18.62,33.88,0,92.02,2.87
2024,1,1,12,654.73,19.06,33.12,0,91.94,3.65
2024,1,1,13,565.91,18.99,33.75,0,91.88,4.11
2024,1,1,14,428.54,18.33,36.06,0,91.85,4.09
2024,1,1,15,243.9,16.99,40.88,0,91.85,3.78
2024,1,1,16,55.64,14.44,51.25,0,91.86,2.72
2024,1,1,17,0,11.5,67,0,91.9,2.16
2024,1,1,18,0,10.61,74.5,0,91.94,2.22
2024,1,1,19,0,9.95,79.62,0,91.97,2.35
2024,1,1,20,0,9.46,82.44,0,92,2.36
2024,1,1,21,0,9.07,81.88,0,92,2.26
2024,1,1,22,0,9.19,74.94,0,91.98,2.09
2024,1,1,23,0,9.55,65.88,0,91.94,1.99
2024,1,2,0,0,9.92,58.94,0,91.92,1.91
2024,1,2,1,0,9.87,55.81,0,91.91,1.94
2024,1,2,2,0,9.3,56.5,0,91.9,2.18
2024,1,2,3,0,8.18,62.06,0,91.9,2.51
2024,1,2,4,0,7.31,69.56,0,91.91,2.75
2024,1,2,5,0,6.59,79.94,0,91.96,3.1
2024,1,2,6,0,6.07,90.75,0,91.99,3.43
2024,1,2,7,122.09,9.15,78.31,0,92.02,4.28
