YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,0,0,12.01,100,0,100.49,2.26
2024,1,1,1,0,11.75,100,0.01,100.49,2.02
2024,1,1,2,0,11.52,100,0,100.49,1.87
2024,1,1,3,0,11.33,100,0,100.49,1.95
2024,1,1,4,0,11.15,100,0,100.51,2.05
2024,1,1,5,0,11.02,100,0.01,100.55,2.14
2024,1,1,6,0,10.95,100,0.01,100.61,2.29
2024,1,1,7,95.38,12.23,98.62,0.01,100.64,2.4
2024,1,1,8,285.39,14.48,86.56,0.01,100.66,3.28
2024,1,1,9,451.89,16.82,72.5,0,100.68,3.82
2024,1,1,10,572.7,18.14,63.25,0,100.64,3.66
2024,1,1,11,636.19,19.31,56,0,100.55,3.44
2024,1,1,12,623.37,20.19,50.88,0,100.44,3.25
2024,1,1,13,539.09,20.64,48.19,0,100.35,3.22
2024,1,1,14,402.52,20.67,47.19,0,100.29,3.24
2024,1,1,15,224.72,20.19,48.19,0,100.28,3.33
2024,1,1,16,51.03,18.08,56.19,0,100.29,2.78
2024,1,1,17,0,16.35,63.94,0,100.33,3.33
2024,1,1,18,0,15.85,67.62,0,100.4,3.56
2024,1,1,19,0,15.28,71.81,0,100.45,3.64
2024,1,1,20,0,15.01,75.38,0,100.49,3.54
2024,1,1,21,0,14.76,79.44,0,100.51,3.33
2024,1,1,22,0,14.22,85.88,0,100.52,3.09
2024,1,1,23,0,13.71,92.5,0,100.5,2.85
2024,1,2,0,0,12.98,99.69,0,100.47,2.69
2024,1,2,1,0,12.4,100,0,100.47,2.64
2024,1,2,2,0,12.01,100,0.01,100.45,2.67
2024,1,2,3,0,11.73,100,0.01,100.45,2.75
2024,1,2,4,0,11.53,100,0.01,100.46,2.82
2024,1,2,5,0,11.33,100,0.01,100.48,2.72
2024,1,2,6,0,11.16,100,0,100.52,2.55
2024,1,2,7,94.95,12.58,100,0,100.57,2.39
2024,1,2,8,288.13,15.2,85.12,0,100.63,3.2
2024,1,2,9,445.75,17.52,69.31,0,100.67,4.43
2024,1,2,10,570.43,18.84,60.19,0,100.67,4.94
2024,1,2,11,607.59,19.7,55.06,0,100.62,5.06
2024,1,2,12,560.1,20.27,52.06,0,100.54,5.05
2024,1,2,13,520.59,20.53,50.81,0,100.49,4.95
2024,1,2,14,385.73,20.45,51.25,0,100.45,4.74
